occupation_title,soc_code,job_category,education_required,median_annual_wage_usd,employment_2024,projected_growth_pct_2024_2034,growth_outlook,ai_exposure_llm_human,ai_exposure_llm_gpt4,ai_exposure_aioe,ai_exposure_level,top_cognitive_ability,top_cognitive_family,distinctive_cognitive_strength,cognitive_demand_score,verbal_ability,reasoning_ability,quantitative_ability,memory_ability,perceptual_ability,spatial_ability,attention_ability
Survey researchers,19-3022,Life Physical And Social Science,Master's degree,63380.0,8800.0,-5.0,Decline,0.844,0.625,1.427,High,Oral Comprehension,Verbal,Quantitative,3.304,4.06,3.589,3.94,3.0,2.793,1.69,2.69
Interpreters and translators,27-3091,Media And Communication,Bachelor's degree,59440.0,75300.0,2.0,Slower than average,0.84,0.88,1.111,High,Oral Comprehension,Verbal,Attention,3.054,4.095,3.213,1.88,2.75,2.96,1.75,3.19
Public relations specialists,27-3031,Media And Communication,Bachelor's degree,69780.0,315900.0,5.0,Faster than average,0.788,0.591,1.285,High,Oral Comprehension,Verbal,Verbal,3.012,4.127,3.463,2.06,2.38,2.293,1.625,2.935
Writers and authors,27-3043,Media And Communication,Bachelor's degree,72270.0,135400.0,4.0,As fast as average,0.774,0.877,0.988,High,Written Expression,Verbal,Verbal,2.97,4.108,3.456,1.872,2.06,2.417,1.782,2.56
Environmental scientists and specialists,19-2041,Life Physical And Social Science,Bachelor's degree,80060.0,90300.0,4.0,As fast as average,0.71,0.522,1.014,High,Oral Comprehension,Verbal,Quantitative,3.252,3.992,3.572,3.202,2.502,2.832,2.157,2.798
Customer service representatives,43-4051,Office And Administrative Support,High school diploma or equivalent,42830.0,2814000.0,-5.0,Decline,0.705,0.568,0.956,High,Oral Comprehension,Verbal,Verbal,2.943,3.86,3.196,2.407,2.5,2.645,1.5,2.875
Concierges,39-6012,Personal Care And Service,High school diploma or equivalent,37320.0,45600.0,2.0,Slower than average,0.7,0.467,0.856,High,Oral Expression,Verbal,Memory,2.891,3.625,3.247,2.12,2.75,2.46,1.87,2.685
Credit counselors,13-2071,Business And Financial,Bachelor's degree,50480.0,31800.0,3.0,As fast as average,0.693,0.625,1.385,High,Oral Comprehension,Verbal,Quantitative,3.134,3.97,3.384,3.25,2.375,2.79,1.625,2.872
Advertising sales agents,41-3011,Sales,High school diploma or equivalent,61460.0,103700.0,-6.0,Decline,0.692,0.538,1.163,High,Oral Expression,Verbal,Verbal,3.036,3.875,3.123,2.75,2.38,2.793,2.13,2.94
"Tax examiners and collectors, and revenue agents",13-2081,Business And Financial,Bachelor's degree,59740.0,57600.0,-2.0,Decline,0.677,0.581,1.367,High,Oral Comprehension,Verbal,Memory,3.161,3.875,3.464,3.125,2.88,2.917,1.625,2.75
Personal financial advisors,13-2052,Business And Financial,Bachelor's degree,102140.0,326000.0,10.0,Much faster than average,0.671,0.5,1.401,High,Oral Comprehension,Verbal,Quantitative,3.18,3.97,3.539,3.5,2.5,2.75,1.5,2.685
Agricultural and food scientists,19-1010,Life Physical And Social Science,Bachelor's degree,78770.0,38700.0,6.0,Faster than average,0.658,0.456,0.823,High,Oral Comprehension,Verbal,Reasoning,3.369,3.999,3.78,3.252,2.707,2.888,2.228,2.978
Loan officers,13-2072,Business And Financial,Bachelor's degree,74180.0,301400.0,2.0,Slower than average,0.648,0.591,1.386,High,Oral Comprehension,Verbal,Quantitative,2.899,3.843,3.197,3.25,2.25,2.29,1.25,2.5
Editors,27-3041,Media And Communication,Bachelor's degree,75260.0,115800.0,1.0,Slower than average,0.647,0.647,1.128,High,Written Comprehension,Verbal,Verbal,3.191,4.375,3.52,2.06,2.62,2.917,1.94,2.75
Budget analysts,13-2031,Business And Financial,Bachelor's degree,87930.0,50400.0,1.0,Slower than average,0.64,0.52,1.503,High,Oral Comprehension,Verbal,Quantitative,3.203,3.907,3.483,4.0,2.62,2.67,1.56,2.75
Technical writers,27-3042,Media And Communication,Bachelor's degree,91670.0,56400.0,1.0,Slower than average,0.633,0.7,1.184,High,Written Expression,Verbal,Verbal,2.852,4.0,3.287,1.88,2.0,2.163,2.125,2.19
"News analysts, reporters, and journalists",27-3023,Media And Communication,Bachelor's degree,60280.0,49300.0,-4.0,Decline,0.633,0.65,1.175,High,Oral Expression,Verbal,Verbal,3.068,4.093,3.5,1.968,2.56,2.647,1.685,2.875
Genetic counselors,29-9092,Healthcare,Master's degree,98910.0,4000.0,9.0,Much faster than average,0.632,0.5,1.528,High,Written Comprehension,Verbal,Memory,3.273,4.062,3.623,3.0,2.88,2.96,1.81,2.875
Operations research analysts,15-2031,Math,Bachelor's degree,91290.0,112100.0,21.0,Much faster than average,0.629,0.629,1.4,High,Mathematical Reasoning,Quantitative,Quantitative,3.405,4.093,3.84,4.5,2.75,2.667,1.69,2.56
Economists,19-3011,Life Physical And Social Science,Master's degree,115440.0,17600.0,1.0,Slower than average,0.617,0.553,1.404,High,Written Comprehension,Verbal,Quantitative,3.209,3.922,3.491,3.72,3.0,2.667,1.815,2.595
Sociologists,19-3041,Life Physical And Social Science,Master's degree,101690.0,3400.0,4.0,As fast as average,0.615,0.538,1.411,High,Written Comprehension,Verbal,Verbal,2.97,4.185,3.374,2.435,2.38,2.207,1.5,2.565
"Atmospheric scientists, including meteorologists",19-2021,Life Physical And Social Science,Bachelor's degree,97450.0,9400.0,1.0,Slower than average,0.609,0.565,1.374,High,Written Comprehension,Verbal,Verbal,3.291,4.218,3.589,3.125,2.62,2.96,1.81,2.875
Emergency management directors,11-9161,Management,Bachelor's degree,86130.0,13200.0,3.0,As fast as average,0.6,0.422,1.031,High,Oral Comprehension,Verbal,Reasoning,3.428,4.06,3.857,2.75,2.88,3.04,2.56,3.06
Logisticians,13-1081,Business And Financial,Bachelor's degree,80880.0,241000.0,17.0,Much faster than average,0.597,0.528,1.297,High,Written Comprehension,Verbal,Quantitative,3.293,3.905,3.625,3.417,2.75,2.848,2.123,2.897
Public safety telecommunicators,43-5031,Office And Administrative Support,High school diploma or equivalent,50730.0,105200.0,3.0,As fast as average,0.594,0.656,0.907,High,Oral Expression,Verbal,Attention,3.226,3.78,3.483,2.12,3.12,3.337,1.88,3.56
Training and development specialists,13-1151,Business And Financial,Bachelor's degree,65850.0,452300.0,11.0,Much faster than average,0.592,0.553,1.198,High,Oral Expression,Verbal,Memory,3.202,4.093,3.627,2.5,3.0,2.583,1.81,3.06
Human resources specialists,13-1071,Business And Financial,Bachelor's degree,72910.0,944300.0,6.0,Faster than average,0.589,0.644,1.36,High,Oral Comprehension,Verbal,Verbal,2.922,4.028,3.211,2.315,2.38,2.503,1.625,2.5
Receptionists,43-4171,Office And Administrative Support,High school diploma or equivalent,37230.0,1007200.0,0.0,Little or no change,0.583,0.533,1.013,High,Oral Comprehension,Verbal,Memory,2.75,3.69,2.697,2.62,2.75,2.33,1.56,3.0
Urban and regional planners,19-3051,Life Physical And Social Science,Master's degree,83720.0,44700.0,3.0,As fast as average,0.58,0.477,1.228,High,Oral Expression,Verbal,Spatial,3.245,4.03,3.609,2.94,2.25,2.583,2.63,2.815
Financial examiners,13-2061,Business And Financial,Bachelor's degree,90400.0,65100.0,19.0,Much faster than average,0.576,0.5,1.526,High,Written Comprehension,Verbal,Quantitative,3.398,4.093,3.749,3.5,2.88,3.163,1.75,2.935
Health and safety engineers,17-2111,Architecture And Engineering,Bachelor's degree,109660.0,23800.0,4.0,As fast as average,0.568,0.504,0.995,High,Problem Sensitivity,Reasoning,Perceptual,3.362,3.927,3.731,3.02,2.67,3.193,2.5,2.748
Medical scientists,19-1042,Life Physical And Social Science,Doctoral or professional degree,100590.0,165300.0,9.0,Much faster than average,0.568,0.523,1.28,High,Written Comprehension,Verbal,Reasoning,3.297,4.093,3.714,3.125,2.62,2.957,1.625,2.935
Travel agents,41-3041,Sales,High school diploma or equivalent,48450.0,65700.0,2.0,Slower than average,0.562,0.562,1.134,High,Oral Comprehension,Verbal,Memory,2.935,3.72,3.124,2.94,2.88,2.29,1.625,3.0
Computer and information systems managers,11-3021,Management,Bachelor's degree,171200.0,667100.0,15.0,Much faster than average,0.561,0.53,1.06,High,Oral Comprehension,Verbal,Reasoning,3.25,3.938,3.661,3.06,2.62,2.833,2.06,2.75
Medical records specialists,29-2072,Healthcare,Postsecondary nondegree award,50250.0,194800.0,7.0,Much faster than average,0.559,0.618,0.574,High,Oral Comprehension,Verbal,Verbal,2.613,3.375,2.84,2.125,2.12,2.5,1.44,2.37
Epidemiologists,19-1041,Life Physical And Social Science,Master's degree,83980.0,12300.0,16.0,Much faster than average,0.558,0.442,1.436,High,Problem Sensitivity,Reasoning,Reasoning,3.535,4.185,3.964,3.375,3.0,3.287,2.0,3.065
Market research analysts,13-1161,Business And Financial,Bachelor's degree,76950.0,941700.0,7.0,Much faster than average,0.543,0.525,1.427,High,Inductive Reasoning,Reasoning,Reasoning,3.28,4.0,3.821,3.25,2.75,2.75,1.69,2.63
Political scientists,19-3094,Life Physical And Social Science,Master's degree,139380.0,6500.0,-3.0,Decline,0.542,0.479,1.419,High,Written Comprehension,Verbal,Verbal,2.982,4.125,3.34,2.565,2.5,2.333,1.5,2.56
Public relations and fundraising managers,11-2030,Management,Bachelor's degree,132870.0,128900.0,5.0,Faster than average,0.538,0.556,1.294,High,Oral Expression,Verbal,Reasoning,3.251,4.093,3.733,2.815,2.62,2.627,1.94,2.88
Bioengineers and biomedical engineers,17-2031,Architecture And Engineering,Bachelor's degree,106950.0,22200.0,5.0,Faster than average,0.538,0.59,0.987,High,Written Comprehension,Verbal,Quantitative,3.451,3.97,3.837,3.63,2.62,3.163,2.31,2.87
Actuaries,15-2011,Math,Bachelor's degree,125770.0,33600.0,22.0,Much faster than average,0.537,0.5,1.516,High,Mathematical Reasoning,Quantitative,Quantitative,3.406,3.907,3.714,4.375,2.75,3.003,1.75,2.94
Sales engineers,41-9031,Sales,Bachelor's degree,121520.0,56800.0,5.0,Faster than average,0.534,0.511,1.145,High,Oral Comprehension,Verbal,Memory,3.315,3.998,3.697,3.185,3.0,2.92,1.94,2.87
Hydrologists,19-2043,Life Physical And Social Science,Bachelor's degree,92060.0,6300.0,0.0,Little or no change,0.531,0.5,0.641,High,Oral Comprehension,Verbal,Quantitative,3.394,4.0,3.68,3.565,2.88,3.207,2.375,2.565
Insurance sales agents,41-3021,Sales,High school diploma or equivalent,60370.0,568800.0,4.0,As fast as average,0.53,0.576,1.341,High,Oral Comprehension,Verbal,Quantitative,2.945,3.905,3.07,3.06,2.25,2.667,1.5,2.685
Physicists and astronomers,19-2010,Life Physical And Social Science,Doctoral or professional degree,166290.0,26400.0,4.0,As fast as average,0.529,0.594,1.36,High,Mathematical Reasoning,Quantitative,Quantitative,3.594,4.047,3.876,4.188,3.125,3.232,2.315,3.16
Compliance officers,13-1041,Business And Financial,Bachelor's degree,78420.0,418000.0,3.0,As fast as average,0.527,0.526,0.698,High,Written Comprehension,Verbal,Perceptual,3.275,4.005,3.529,2.73,2.705,3.173,2.272,2.907
Instructional coordinators,25-9031,Education Training And Library,Master's degree,74720.0,232600.0,1.0,Slower than average,0.525,0.488,1.302,High,Written Comprehension,Verbal,Memory,3.331,4.266,3.723,2.69,3.0,2.833,2.0,2.97
Zoologists and wildlife biologists,19-1023,Life Physical And Social Science,Bachelor's degree,72860.0,18200.0,2.0,Slower than average,0.524,0.452,0.318,High,Oral Comprehension,Verbal,Attention,3.292,4.06,3.607,3.0,2.25,2.793,2.44,3.065
Court reporters and simultaneous captioners,27-3092,Legal,Postsecondary nondegree award,67310.0,17700.0,0.0,Little or no change,0.521,0.958,1.111,High,Oral Comprehension,Verbal,Attention,3.054,4.095,3.213,1.88,2.75,2.96,1.75,3.19
Accountants and auditors,13-2011,Business And Financial,Bachelor's degree,81680.0,1579800.0,5.0,Faster than average,0.52,0.56,1.482,High,Written Comprehension,Verbal,Quantitative,3.275,3.892,3.536,3.94,2.875,2.96,1.625,2.78
Industrial engineers,17-2112,Architecture And Engineering,Bachelor's degree,101140.0,351100.0,11.0,Much faster than average,0.52,0.554,1.138,High,Written Comprehension,Verbal,Quantitative,3.277,3.921,3.616,3.188,2.5,2.835,2.25,2.965
"Securities, commodities, and financial services sales agents",41-3031,Sales,Bachelor's degree,78140.0,514500.0,3.0,As fast as average,0.519,0.606,1.256,High,Oral Comprehension,Verbal,Quantitative,3.08,3.856,3.447,3.19,2.46,2.64,1.52,2.67
Aerospace engineers,17-2011,Architecture And Engineering,Bachelor's degree,134830.0,71600.0,6.0,Faster than average,0.518,0.571,1.339,High,Written Comprehension,Verbal,Quantitative,3.376,3.94,3.769,3.63,2.62,2.957,2.125,2.875
Property appraisers and assessors,13-2020,Business And Financial,Bachelor's degree,65420.0,77300.0,4.0,As fast as average,0.518,0.531,0.841,High,Oral Comprehension,Verbal,Quantitative,3.09,3.769,3.321,3.122,2.19,2.752,2.125,2.812
Anthropologists and archeologists,19-3091,Life Physical And Social Science,Master's degree,64910.0,8800.0,4.0,As fast as average,0.517,0.44,0.697,High,Written Comprehension,Verbal,Reasoning,3.366,4.203,3.785,2.815,2.88,3.022,2.155,2.75
Preschool and childcare center directors,11-9031,Management,Bachelor's degree,56270.0,90200.0,-3.0,Decline,0.516,0.469,0.838,High,Written Expression,Verbal,Memory,3.221,4.03,3.609,2.815,3.0,2.75,1.69,3.0
Surveying and mapping technicians,17-3031,Architecture And Engineering,High school diploma or equivalent,51940.0,59400.0,5.0,Faster than average,0.511,0.5,0.085,High,Written Comprehension,Verbal,Quantitative,3.073,3.371,3.187,3.28,2.62,2.958,2.53,2.812
Mechanical engineers,17-2141,Architecture And Engineering,Bachelor's degree,102320.0,293100.0,9.0,Much faster than average,0.501,0.531,1.005,High,Written Comprehension,Verbal,Quantitative,3.368,3.823,3.685,3.625,2.62,3.001,2.482,2.897
Management analysts,13-1111,Business And Financial,Bachelor's degree,101190.0,1075100.0,9.0,Much faster than average,0.5,0.405,1.432,High,Oral Comprehension,Verbal,Verbal,3.231,4.25,3.713,2.94,2.62,2.583,1.625,2.685
Librarians and library media specialists,25-4022,Education Training And Library,Master's degree,64320.0,142100.0,2.0,Slower than average,0.5,0.535,1.037,High,Oral Expression,Verbal,Memory,3.108,3.91,3.429,2.31,2.88,2.957,1.625,3.0
Historians,19-3093,Life Physical And Social Science,Master's degree,74050.0,3400.0,2.0,Slower than average,0.5,0.474,1.099,High,Written Comprehension,Verbal,Verbal,2.905,4.25,3.359,1.81,2.25,2.167,1.5,2.56
Mining and geological engineers,17-2151,Architecture And Engineering,Bachelor's degree,101020.0,7000.0,1.0,Slower than average,0.5,0.481,1.347,High,Oral Comprehension,Verbal,Quantitative,3.53,4.0,3.893,3.63,2.75,3.247,2.63,2.94
Environmental engineers,17-2081,Architecture And Engineering,Bachelor's degree,104170.0,39400.0,4.0,As fast as average,0.5,0.556,1.344,High,Written Comprehension,Verbal,Quantitative,3.458,4.109,3.768,3.595,2.75,3.063,2.438,2.905
Health education specialists,21-1091,Community And Social Service,Bachelor's degree,63000.0,71800.0,4.0,As fast as average,0.5,0.532,0.692,High,Oral Expression,Verbal,Verbal,2.965,4.095,3.339,2.12,2.0,2.377,1.88,2.69
Insurance underwriters,13-2053,Business And Financial,Bachelor's degree,79880.0,127000.0,-3.0,Decline,0.5,0.571,1.327,High,Written Comprehension,Verbal,Quantitative,2.918,3.688,3.251,2.815,2.12,2.583,1.5,2.63
General office clerks,43-9061,Office And Administrative Support,High school diploma or equivalent,43630.0,2646000.0,-7.0,Decline,0.5,0.576,0.989,High,Oral Expression,Verbal,Attention,2.808,3.75,2.873,2.685,2.12,2.453,1.56,2.94
"Claims adjusters, appraisers, examiners, and investigators",13-1030,Business And Financial,See How to Become One,76790.0,365300.0,-5.0,Decline,0.495,0.51,0.969,High,Oral Comprehension,Verbal,Verbal,3.031,3.889,3.205,2.874,2.185,2.698,2.062,2.749
Drafters,17-3010,Architecture And Engineering,Associate's degree,65380.0,192100.0,0.0,Little or no change,0.492,0.538,0.892,High,Oral Comprehension,Verbal,Spatial,2.984,3.515,3.16,2.979,2.21,2.73,2.372,2.688
Psychologists,19-3030,Life Physical And Social Science,See How to Become One,94310.0,204300.0,6.0,Faster than average,0.49,0.426,1.416,High,Written Comprehension,Verbal,Reasoning,3.384,4.301,3.86,2.916,2.76,2.954,1.868,2.827
Fundraisers,13-1131,Business And Financial,Bachelor's degree,66490.0,134400.0,4.0,As fast as average,0.49,0.519,1.243,High,Oral Expression,Verbal,Verbal,3.047,4.062,3.446,2.685,2.38,2.29,1.685,2.815
Natural sciences managers,11-9121,Management,Bachelor's degree,161180.0,104300.0,4.0,As fast as average,0.487,0.531,1.328,High,Written Comprehension,Verbal,Verbal,3.212,4.03,3.578,3.127,2.54,2.722,1.873,2.792
Desktop publishers,43-9031,Office And Administrative Support,Associate's degree,53620.0,5000.0,-12.0,Decline,0.484,0.645,0.344,High,Information Ordering,Reasoning,Spatial,3.256,3.562,3.643,2.44,2.5,3.25,2.81,2.94
Sales managers,11-2022,Management,Bachelor's degree,138060.0,619500.0,5.0,Faster than average,0.483,0.45,1.266,High,Oral Comprehension,Verbal,Memory,3.22,3.97,3.626,3.12,3.0,2.667,1.94,2.62
Cost estimators,13-1051,Business And Financial,Bachelor's degree,77070.0,221400.0,-4.0,Decline,0.481,0.5,1.368,High,Oral Comprehension,Verbal,Quantitative,3.173,3.875,3.376,4.0,2.0,2.837,1.935,2.56
Geoscientists,19-2042,Life Physical And Social Science,Bachelor's degree,99240.0,25100.0,3.0,As fast as average,0.478,0.467,0.714,High,Inductive Reasoning,Reasoning,Quantitative,3.35,4.0,3.749,3.435,2.38,2.913,2.44,2.625
Training and development managers,11-3131,Management,Bachelor's degree,127090.0,46400.0,6.0,Faster than average,0.477,0.5,1.284,High,Oral Expression,Verbal,Reasoning,3.276,4.03,3.824,2.88,2.88,2.71,1.875,2.69
Civil engineering technologists and technicians,17-3022,Architecture And Engineering,Associate's degree,64200.0,64900.0,2.0,Slower than average,0.477,0.591,0.932,High,Oral Comprehension,Verbal,Quantitative,3.269,3.782,3.377,3.69,2.25,3.0,2.81,2.81
Postsecondary education administrators,11-9033,Management,Master's degree,103960.0,226600.0,2.0,Slower than average,0.476,0.439,1.461,High,Written Comprehension,Verbal,Reasoning,3.345,4.09,3.857,2.88,2.75,2.873,1.81,3.065
Nuclear engineers,17-2161,Architecture And Engineering,Bachelor's degree,127520.0,15400.0,-1.0,Decline,0.475,0.55,1.303,High,Problem Sensitivity,Reasoning,Reasoning,3.487,4.09,3.876,3.56,2.75,3.167,2.12,3.065
Special effects artists and animators,27-1014,Arts And Design,Bachelor's degree,99800.0,57100.0,2.0,Slower than average,0.475,0.525,0.706,High,Written Comprehension,Verbal,Spatial,3.12,3.782,3.394,2.56,2.5,2.71,2.435,3.0
Lawyers,23-1011,Legal,Doctoral or professional degree,151160.0,864800.0,4.0,As fast as average,0.475,0.425,1.329,High,Oral Expression,Verbal,Verbal,3.363,4.5,3.84,2.5,2.88,2.707,1.75,3.125
"Compensation, benefits, and job analysis specialists",13-1141,Business And Financial,Bachelor's degree,77020.0,107000.0,5.0,Faster than average,0.474,0.474,1.441,High,Oral Expression,Verbal,Quantitative,2.994,3.752,3.286,2.94,2.38,2.83,1.5,2.56
"Transportation, storage, and distribution managers",11-3071,Management,High school diploma or equivalent,102010.0,216700.0,6.0,Faster than average,0.473,0.487,0.891,High,Oral Comprehension,Verbal,Quantitative,3.158,3.939,3.489,3.042,2.457,2.681,2.065,2.71
Rehabilitation counselors,21-1015,Community And Social Service,Master's degree,46110.0,91900.0,1.0,Slower than average,0.468,0.355,0.503,High,Oral Comprehension,Verbal,Verbal,2.958,4.0,3.284,2.06,2.38,2.707,1.5,2.75
Dietitians and nutritionists,29-1031,Healthcare,Bachelor's degree,73850.0,90900.0,6.0,Faster than average,0.463,0.549,1.343,High,Oral Comprehension,Verbal,Memory,3.245,4.0,3.714,2.94,2.88,2.627,1.81,2.94
Compensation and benefits managers,11-3111,Management,Bachelor's degree,140360.0,20900.0,0.0,Little or no change,0.461,0.513,1.298,High,Oral Comprehension,Verbal,Verbal,2.928,4.0,3.196,3.0,2.12,2.377,1.5,2.435
Cartographers and photogrammetrists,17-1021,Architecture And Engineering,Bachelor's degree,78380.0,13400.0,6.0,Faster than average,0.46,0.52,0.817,High,Written Comprehension,Verbal,Perceptual,3.107,3.72,3.23,2.94,2.5,3.043,2.315,2.81
Chemists and materials scientists,19-2030,Life Physical And Social Science,Bachelor's degree,86620.0,95500.0,5.0,Faster than average,0.459,0.431,0.767,High,Written Comprehension,Verbal,Quantitative,3.321,3.952,3.651,3.438,2.69,2.917,2.125,2.902
Audiologists,29-1181,Healthcare,Doctoral or professional degree,92120.0,15800.0,9.0,Much faster than average,0.455,0.455,0.633,High,Oral Comprehension,Verbal,Memory,3.154,3.938,3.5,2.5,2.75,2.96,1.87,2.81
"Elementary, middle, and high school principals",11-9032,Management,Master's degree,104070.0,333300.0,-2.0,Decline,0.455,0.418,1.049,Medium,Oral Comprehension,Verbal,Reasoning,3.441,4.315,3.946,3.0,2.88,2.917,1.875,3.0
Civil engineers,17-2051,Architecture And Engineering,Bachelor's degree,99590.0,368900.0,5.0,Faster than average,0.455,0.482,1.283,High,Deductive Reasoning,Reasoning,Quantitative,3.524,3.97,3.831,3.812,2.75,3.145,2.812,2.938
