occupation_title,soc_code,job_category,education_required,median_annual_wage_usd,employment_2024,projected_growth_pct_2024_2034,growth_outlook,ai_exposure_llm_human,ai_exposure_llm_gpt4,ai_exposure_aioe,ai_exposure_level,top_cognitive_ability,top_cognitive_family,distinctive_cognitive_strength,cognitive_demand_score,verbal_ability,reasoning_ability,quantitative_ability,memory_ability,perceptual_ability,spatial_ability,attention_ability
Financial managers,11-3031,Management,Bachelor's degree,161700.0,868600.0,15.0,Much faster than average,0.454,0.485,1.446,Medium,Oral Expression,Verbal,Quantitative,3.283,3.985,3.633,3.593,2.875,2.877,1.655,2.782
Administrative services and facilities managers,11-3010,Management,Bachelor's degree,106880.0,422600.0,4.0,As fast as average,0.452,0.396,0.74,Medium,Oral Comprehension,Verbal,Attention,3.106,3.97,3.283,2.685,2.62,2.583,2.19,3.12
Human resources managers,11-3121,Management,Bachelor's degree,140030.0,221900.0,5.0,Faster than average,0.45,0.48,1.32,Medium,Oral Comprehension,Verbal,Memory,3.257,4.155,3.629,3.0,2.88,2.79,1.69,2.87
Paralegals and legal assistants,23-2011,Legal,Associate's degree,61010.0,376200.0,0.0,Little or no change,0.45,0.525,1.292,Medium,Written Comprehension,Verbal,Verbal,2.922,4.03,3.18,2.06,2.62,2.667,1.56,2.565
Probation officers and correctional treatment specialists,21-1092,Community And Social Service,Bachelor's degree,64520.0,92300.0,3.0,As fast as average,0.447,0.395,0.527,Medium,Problem Sensitivity,Reasoning,Verbal,2.815,3.81,3.286,1.88,2.12,2.207,1.565,2.625
Social and community service managers,11-9151,Management,Bachelor's degree,78240.0,219800.0,6.0,Faster than average,0.446,0.393,1.156,Medium,Oral Expression,Verbal,Verbal,3.239,4.095,3.643,2.88,2.75,2.79,1.75,2.88
Labor relations specialists,13-1075,Business And Financial,Bachelor's degree,93500.0,65400.0,0.0,Little or no change,0.443,0.547,1.335,Medium,Oral Expression,Verbal,Verbal,3.167,4.158,3.519,2.685,2.5,2.667,1.75,2.935
Biochemists and biophysicists,19-1021,Life Physical And Social Science,Doctoral or professional degree,103650.0,35600.0,6.0,Faster than average,0.443,0.455,0.906,Medium,Written Comprehension,Verbal,Reasoning,3.5,4.03,3.964,3.565,3.0,3.207,2.19,2.75
Producers and directors,27-2012,Entertainment And Sports,Bachelor's degree,83480.0,167000.0,5.0,Faster than average,0.437,0.47,0.939,Medium,Oral Comprehension,Verbal,Attention,3.199,4.032,3.616,2.449,2.548,2.658,2.05,3.112
Environmental engineering technologists and technicians,17-3025,Architecture And Engineering,Associate's degree,58890.0,12900.0,1.0,Slower than average,0.434,0.408,0.044,Medium,Written Comprehension,Verbal,Memory,3.269,3.72,3.626,3.0,2.75,2.917,2.44,3.0
"Property, real estate, and community association managers",11-9141,Management,High school diploma or equivalent,66700.0,466100.0,4.0,As fast as average,0.432,0.443,1.215,Medium,Oral Comprehension,Verbal,Verbal,2.988,3.938,3.339,2.685,2.12,2.333,1.875,2.69
Petroleum engineers,17-2171,Architecture And Engineering,Bachelor's degree,141280.0,19600.0,1.0,Slower than average,0.431,0.528,1.248,Medium,Written Comprehension,Verbal,Attention,3.41,4.123,3.714,3.25,2.62,2.96,2.315,3.25
Art directors,27-1011,Arts And Design,Bachelor's degree,111040.0,135000.0,4.0,As fast as average,0.431,0.5,1.023,Medium,Fluency of Ideas,Reasoning,Reasoning,3.25,3.845,3.803,2.565,2.62,2.837,2.31,2.69
Architects,17-1011,Architecture And Engineering,Bachelor's degree,96690.0,123600.0,4.0,As fast as average,0.43,0.488,1.047,Medium,Visualization,Spatial,Spatial,3.607,3.97,3.981,3.44,2.75,3.417,3.185,2.875
Bill and account collectors,43-3011,Office And Administrative Support,High school diploma or equivalent,46040.0,166900.0,-10.0,Decline,0.429,0.696,1.272,Medium,Oral Comprehension,Verbal,Quantitative,2.72,3.655,2.806,2.685,2.12,2.333,1.56,2.625
Electrical and electronics engineers,17-2070,Architecture And Engineering,Bachelor's degree,118780.0,287900.0,7.0,Much faster than average,0.427,0.591,0.896,Medium,Oral Comprehension,Verbal,Quantitative,3.267,3.876,3.698,3.285,2.528,2.698,2.122,2.894
Pharmacy technicians,29-2052,Healthcare,High school diploma or equivalent,43460.0,490400.0,6.0,Faster than average,0.426,0.426,0.007,Medium,Oral Comprehension,Verbal,Quantitative,2.983,3.66,3.124,3.12,2.25,2.793,1.69,2.94
Adult basic and secondary education and ESL teachers,25-3011,Education Training And Library,Bachelor's degree,59950.0,40900.0,-14.0,Decline,0.426,0.404,1.349,Medium,Oral Expression,Verbal,Verbal,3.06,4.032,3.233,2.88,2.75,2.747,1.5,2.875
Conservation scientists and foresters,19-1030,Life Physical And Social Science,Bachelor's degree,69060.0,42400.0,3.0,As fast as average,0.424,0.404,-0.058,Medium,Oral Comprehension,Verbal,Spatial,3.25,3.938,3.533,2.802,2.438,2.828,2.692,2.928
Environmental science and protection technicians,19-4042,Life Physical And Social Science,Associate's degree,49490.0,40400.0,4.0,As fast as average,0.422,0.456,0.083,Medium,Written Comprehension,Verbal,Spatial,3.019,3.657,3.244,2.81,2.31,2.75,2.22,2.72
Surveyors,17-1022,Architecture And Engineering,Bachelor's degree,72740.0,56100.0,4.0,As fast as average,0.42,0.51,0.146,Medium,Mathematical Reasoning,Quantitative,Quantitative,3.447,3.907,3.501,4.032,2.88,3.187,2.968,2.905
"Archivists, curators, and museum workers",25-4010,Education Training And Library,See How to Become One,57100.0,40200.0,6.0,Faster than average,0.418,0.412,0.441,Medium,Oral Comprehension,Verbal,Memory,3.056,3.782,3.417,2.46,2.583,2.583,2.147,2.79
Real estate brokers and sales agents,41-9020,Sales,High school diploma or equivalent,58960.0,532200.0,3.0,As fast as average,0.416,0.469,1.007,Medium,Oral Comprehension,Verbal,Verbal,2.886,3.812,3.089,2.688,2.25,2.415,2.062,2.375
Industrial designers,27-1021,Arts And Design,Bachelor's degree,79450.0,30600.0,3.0,As fast as average,0.414,0.466,0.867,Medium,Oral Comprehension,Verbal,Spatial,3.161,3.625,3.554,2.69,2.5,2.75,2.5,2.935
Graphic designers,27-1024,Arts And Design,Bachelor's degree,61300.0,265900.0,2.0,Slower than average,0.411,0.5,0.716,Medium,Originality,Reasoning,Spatial,2.946,3.688,3.391,2.0,2.0,2.497,2.19,2.75
Athletic trainers,29-9091,Healthcare,Master's degree,60250.0,33900.0,11.0,Much faster than average,0.407,0.279,-0.331,Medium,Problem Sensitivity,Reasoning,Reasoning,3.142,3.843,3.589,2.0,2.62,2.96,2.0,3.0
Marine engineers and naval architects,17-2121,Architecture And Engineering,Bachelor's degree,105670.0,8500.0,6.0,Faster than average,0.404,0.421,0.547,Medium,Written Comprehension,Verbal,Quantitative,3.424,3.94,3.742,3.625,2.63,2.917,2.78,2.875
Pharmacists,29-1051,Healthcare,Doctoral or professional degree,137480.0,335100.0,5.0,Faster than average,0.4,0.429,0.606,Medium,Oral Comprehension,Verbal,Attention,3.316,4.125,3.609,3.315,2.75,2.833,1.81,3.19
Construction managers,11-9021,Management,Bachelor's degree,106980.0,550300.0,9.0,Much faster than average,0.4,0.444,1.029,Medium,Problem Sensitivity,Reasoning,Spatial,3.303,3.785,3.57,3.12,2.5,3.04,2.75,2.94
Project management specialists,13-1082,Business And Financial,Bachelor's degree,100750.0,1046300.0,6.0,Faster than average,0.4,0.55,1.297,Medium,Written Comprehension,Verbal,Quantitative,3.293,3.905,3.625,3.417,2.75,2.848,2.123,2.897
Models,41-9012,Sales,No formal educational credential,89990.0,6700.0,-1.0,Decline,0.4,0.233,-1.122,Medium,Oral Comprehension,Verbal,Spatial,2.103,2.69,2.343,1.5,1.63,1.377,1.875,2.25
Food service managers,11-9051,Management,High school diploma or equivalent,65310.0,352800.0,6.0,Faster than average,0.396,0.417,-0.121,Medium,Oral Comprehension,Verbal,Quantitative,3.012,3.782,3.214,2.94,2.62,2.623,1.69,2.94
Chemical technicians,19-4031,Life Physical And Social Science,Associate's degree,57790.0,57000.0,4.0,As fast as average,0.393,0.393,0.063,Medium,Oral Comprehension,Verbal,Memory,3.15,3.69,3.483,2.94,2.75,2.96,2.0,2.75
Speech-language pathologists,29-1127,Healthcare,Master's degree,95410.0,187400.0,15.0,Much faster than average,0.39,0.451,1.146,Medium,Oral Comprehension,Verbal,Reasoning,3.238,4.002,3.75,2.435,2.62,2.957,1.81,2.875
Private detectives and investigators,33-9021,Protective Service,High school diploma or equivalent,52370.0,43600.0,6.0,Faster than average,0.389,0.389,0.748,Medium,Inductive Reasoning,Reasoning,Attention,3.173,3.94,3.517,2.44,2.12,3.0,2.065,3.065
Entertainment and recreation managers,11-9072,Management,Bachelor's degree,77180.0,43200.0,8.0,Much faster than average,0.382,0.353,0.83,Medium,Oral Comprehension,Verbal,Attention,3.209,3.78,3.431,3.06,2.88,3.08,1.815,3.185
Fire inspectors,33-2020,Protective Service,See How to Become One,75480.0,17600.0,6.0,Faster than average,0.38,0.254,-0.076,Medium,Problem Sensitivity,Reasoning,Perceptual,3.248,3.752,3.563,2.486,2.28,3.334,2.611,2.891
Lodging managers,11-9081,Management,High school diploma or equivalent,68130.0,52000.0,3.0,As fast as average,0.38,0.457,0.402,Medium,Oral Expression,Verbal,Verbal,3.303,4.03,3.606,3.065,2.62,2.92,2.31,2.94
Geographers,19-3092,Life Physical And Social Science,Bachelor's degree,97200.0,1500.0,-3.0,Decline,0.375,0.5,1.436,Medium,Oral Comprehension,Verbal,Reasoning,3.244,4.0,3.697,3.0,2.62,2.75,1.94,2.75
Fashion designers,27-1022,Arts And Design,Bachelor's degree,80690.0,25700.0,2.0,Slower than average,0.375,0.391,0.58,Medium,Oral Expression,Verbal,Reasoning,3.247,3.91,3.753,2.315,2.25,2.793,2.505,3.0
Social and human service assistants,21-1093,Community And Social Service,High school diploma or equivalent,45120.0,449600.0,6.0,Faster than average,0.375,0.393,0.465,Medium,Oral Expression,Verbal,Memory,2.989,3.812,3.18,2.25,2.75,2.75,2.065,2.815
Tour and travel guides,39-7010,Personal Care And Service,High school diploma or equivalent,36660.0,55800.0,8.0,Much faster than average,0.373,0.325,0.483,Medium,Oral Comprehension,Verbal,Spatial,2.79,3.486,2.931,2.312,2.5,2.313,2.312,2.72
Medical and health services managers,11-9111,Management,Bachelor's degree,117960.0,616200.0,23.0,Much faster than average,0.371,0.429,1.26,Medium,Oral Expression,Verbal,Verbal,3.197,4.25,3.626,2.88,2.62,2.497,1.56,2.88
"Arbitrators, mediators, and conciliators",23-1022,Legal,Bachelor's degree,67710.0,9100.0,4.0,As fast as average,0.371,0.5,1.432,Medium,Oral Comprehension,Verbal,Verbal,3.006,4.0,3.427,2.0,2.25,2.67,1.625,2.81
Industrial engineering technologists and technicians,17-3026,Architecture And Engineering,Associate's degree,64790.0,74600.0,2.0,Slower than average,0.368,0.419,0.611,Medium,Oral Comprehension,Verbal,Attention,3.25,3.625,3.609,3.12,2.62,2.957,2.315,3.065
Landscape architects,17-1012,Architecture And Engineering,Bachelor's degree,79660.0,21800.0,3.0,As fast as average,0.368,0.421,1.034,Medium,Oral Comprehension,Verbal,Spatial,3.346,4.03,3.787,3.0,2.38,2.623,2.69,3.0
"Meeting, convention, and event planners",13-1121,Business And Financial,Bachelor's degree,59440.0,155800.0,5.0,Faster than average,0.365,0.486,0.374,Medium,Oral Comprehension,Verbal,Attention,3.256,4.0,3.624,2.94,2.38,2.667,2.31,3.06
Recreational therapists,29-1125,Healthcare,Bachelor's degree,60280.0,16100.0,3.0,As fast as average,0.364,0.318,0.219,Medium,Oral Expression,Verbal,Attention,3.116,3.969,3.559,2.142,2.46,2.638,1.957,3.04
Interior designers,27-1025,Arts And Design,Bachelor's degree,63490.0,87100.0,3.0,As fast as average,0.362,0.5,1.122,Medium,Originality,Reasoning,Spatial,3.31,3.938,3.643,2.94,2.38,2.753,2.875,3.0
Cashiers,41-2011,Sales,No formal educational credential,31190.0,3157200.0,-10.0,Decline,0.36,0.209,-0.248,Medium,Oral Expression,Verbal,Memory,2.679,3.31,2.68,2.94,2.75,2.29,1.5,2.875
Set and exhibit designers,27-1027,Arts And Design,Bachelor's degree,66280.0,31300.0,2.0,Slower than average,0.359,0.391,-0.052,Medium,Fluency of Ideas,Reasoning,Spatial,3.416,3.815,3.747,3.06,2.62,3.083,3.06,3.065
Social workers,21-1020,Community And Social Service,See How to Become One,61330.0,810900.0,6.0,Faster than average,0.359,0.286,0.943,Medium,Oral Expression,Verbal,Verbal,3.186,4.165,3.624,2.143,2.793,2.82,1.728,2.938
Community health workers,21-1094,Community And Social Service,High school diploma or equivalent,51030.0,65100.0,11.0,Much faster than average,0.347,0.319,0.037,Medium,Oral Comprehension,Verbal,Verbal,3.048,4.0,3.321,2.25,2.5,2.54,2.125,2.94
Chemical engineers,17-2041,Architecture And Engineering,Bachelor's degree,121860.0,21600.0,3.0,As fast as average,0.346,0.462,1.341,Medium,Written Comprehension,Verbal,Quantitative,3.476,3.78,3.911,3.875,2.75,3.293,2.185,2.875
Middle school teachers,25-2022,Education Training And Library,Bachelor's degree,62970.0,633700.0,-2.0,Decline,0.341,0.348,1.286,Medium,Oral Expression,Verbal,Memory,3.149,4.0,3.41,2.88,2.75,2.79,1.81,2.875
Occupational therapists,29-1122,Healthcare,Master's degree,98340.0,160000.0,14.0,Much faster than average,0.341,0.289,0.115,Medium,Problem Sensitivity,Reasoning,Attention,3.196,3.938,3.553,2.405,2.375,2.938,2.22,3.032
High school teachers,25-2031,Education Training And Library,Bachelor's degree,64580.0,1094500.0,-2.0,Decline,0.341,0.333,1.191,Medium,Oral Expression,Verbal,Memory,3.28,4.062,3.64,2.875,3.0,2.88,1.94,2.94
Physical therapists,29-1123,Healthcare,Doctoral or professional degree,101020.0,267200.0,11.0,Much faster than average,0.34,0.191,-0.358,Medium,Oral Comprehension,Verbal,Verbal,3.213,4.0,3.571,2.56,2.5,2.913,2.12,2.94
Exercise physiologists,29-1128,Healthcare,Bachelor's degree,58160.0,23900.0,9.0,Much faster than average,0.34,0.26,-0.033,Medium,Oral Comprehension,Verbal,Verbal,3.185,4.03,3.627,2.88,2.62,2.54,1.935,2.75
Childcare workers,39-9011,Personal Care And Service,High school diploma or equivalent,32050.0,991600.0,-3.0,Decline,0.34,0.141,-0.383,Medium,Oral Comprehension,Verbal,Memory,2.931,3.516,3.231,1.875,2.685,2.667,2.22,3.0
Registered nurses,29-1141,Healthcare,Bachelor's degree,93600.0,3391000.0,5.0,Faster than average,0.335,0.38,0.229,Medium,Problem Sensitivity,Reasoning,Memory,3.303,4.018,3.654,2.765,2.926,3.059,1.898,3.137
Agricultural engineers,17-2021,Architecture And Engineering,Bachelor's degree,84630.0,1700.0,6.0,Faster than average,0.333,0.426,0.941,Medium,Oral Comprehension,Verbal,Spatial,3.411,4.03,3.787,3.38,2.25,2.837,2.685,3.06
Tellers,43-3071,Office And Administrative Support,High school diploma or equivalent,39340.0,347400.0,-13.0,Decline,0.333,0.542,0.473,Medium,Oral Comprehension,Verbal,Quantitative,2.982,3.595,3.07,3.5,2.12,2.793,1.56,3.065
Architectural and engineering managers,11-9041,Management,Bachelor's degree,167740.0,212500.0,4.0,As fast as average,0.331,0.443,0.837,Medium,Written Comprehension,Verbal,Quantitative,3.381,4.016,3.732,3.405,2.685,2.96,2.188,3.032
Electrical and electronic engineering technologists and technicians,17-3023,Architecture And Engineering,Associate's degree,77180.0,93700.0,1.0,Slower than average,0.33,0.406,0.352,Medium,Problem Sensitivity,Reasoning,Perceptual,3.106,3.499,3.428,2.75,2.56,2.977,2.218,2.902
Industrial production managers,11-3051,Management,Bachelor's degree,121440.0,241900.0,2.0,Slower than average,0.33,0.406,0.509,Medium,Oral Comprehension,Verbal,Perceptual,3.271,3.915,3.503,3.124,2.665,3.062,2.187,3.021
Film and video editors and camera operators,27-4030,Media And Communication,Bachelor's degree,70570.0,79900.0,3.0,As fast as average,0.327,0.476,0.269,Medium,Oral Comprehension,Verbal,Spatial,3.02,3.39,3.322,2.185,2.25,2.853,2.655,3.062
School and career counselors and advisors,21-1012,Community And Social Service,Master's degree,65140.0,376300.0,4.0,As fast as average,0.325,0.289,0.974,Medium,Oral Expression,Verbal,Verbal,3.167,4.123,3.573,2.375,2.62,2.627,1.81,3.065
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,Community And Social Service,Master's degree,59190.0,483500.0,17.0,Much faster than average,0.325,0.242,1.043,Medium,Oral Comprehension,Verbal,Verbal,3.147,4.136,3.589,2.147,2.65,2.733,1.662,2.977
Chiropractors,29-1011,Healthcare,Doctoral or professional degree,79000.0,57200.0,10.0,Much faster than average,0.318,0.455,-0.191,Medium,Oral Comprehension,Verbal,Memory,3.173,3.97,3.536,2.375,2.75,2.96,1.94,2.875
Computer hardware engineers,17-2061,Architecture And Engineering,Bachelor's degree,155020.0,76800.0,7.0,Much faster than average,0.318,0.727,1.142,Medium,Oral Comprehension,Verbal,Reasoning,3.119,3.845,3.624,2.875,2.5,2.5,2.0,2.5
Materials engineers,17-2131,Architecture And Engineering,Bachelor's degree,108310.0,23000.0,6.0,Faster than average,0.317,0.488,1.037,Medium,Oral Comprehension,Verbal,Quantitative,3.28,3.94,3.641,3.435,2.38,2.913,2.19,2.625
Mechanical engineering technologists and technicians,17-3027,Architecture And Engineering,Associate's degree,68730.0,38300.0,0.0,Little or no change,0.315,0.379,-0.119,Medium,Written Comprehension,Verbal,Spatial,3.235,3.689,3.492,3.062,2.5,2.955,2.625,2.998
"Bookkeeping, accounting, and auditing clerks",43-3031,Office And Administrative Support,"Some college, no degree",49210.0,1613400.0,-6.0,Decline,0.314,0.802,1.04,Medium,Oral Comprehension,Verbal,Quantitative,2.881,3.75,2.837,3.69,2.38,2.627,1.5,2.5
Microbiologists,19-1022,Life Physical And Social Science,Bachelor's degree,87330.0,20700.0,4.0,As fast as average,0.312,0.396,0.696,Medium,Written Comprehension,Verbal,Reasoning,3.44,4.093,3.911,3.0,2.62,3.253,2.0,3.06
Preschool teachers,25-2011,Education Training And Library,Associate's degree,37120.0,555100.0,4.0,As fast as average,0.311,0.227,0.031,Medium,Oral Expression,Verbal,Attention,3.185,3.782,3.571,2.375,2.75,2.873,2.13,3.185
Special education teachers,25-2050,Education Training And Library,Bachelor's degree,64270.0,559500.0,-1.0,Decline,0.31,0.308,0.54,Medium,Oral Expression,Verbal,Memory,3.178,4.024,3.506,2.641,2.782,2.77,1.812,3.048
Agricultural and food science technicians,19-4010,Life Physical And Social Science,Associate's degree,48480.0,38900.0,5.0,Faster than average,0.31,0.383,0.096,Medium,Oral Comprehension,Verbal,Quantitative,3.068,3.67,3.25,3.093,2.25,2.79,2.188,2.907
Air traffic controllers,53-2021,Transportation And Material Moving,Associate's degree,144580.0,24100.0,1.0,Slower than average,0.307,0.341,1.153,Medium,Problem Sensitivity,Reasoning,Attention,3.81,4.125,3.966,3.06,3.0,4.207,2.69,4.31
Medical dosimetrists,29-2036,Healthcare,Bachelor's degree,138110.0,4800.0,3.0,As fast as average,0.3,0.45,-0.18,Medium,Oral Comprehension,Verbal,Perceptual,3.084,3.831,3.304,2.521,2.45,3.0,1.963,2.95
Teacher assistants,25-9045,Education Training And Library,"Some college, no degree",35240.0,1422800.0,-1.0,Decline,0.299,0.388,0.452,Medium,Oral Comprehension,Verbal,Attention,2.68,3.378,2.947,1.88,2.25,2.29,1.685,2.94
Diagnostic medical sonographers,29-2032,Healthcare,Associate's degree,89340.0,90000.0,13.0,Much faster than average,0.289,0.303,-0.264,Medium,Oral Comprehension,Verbal,Perceptual,3.072,3.878,3.286,2.185,2.38,3.127,2.0,2.94
Podiatrists,29-1081,Healthcare,Doctoral or professional degree,152800.0,9700.0,2.0,Slower than average,0.286,0.286,0.628,Medium,Problem Sensitivity,Reasoning,Perceptual,3.309,4.0,3.64,2.815,2.75,3.247,2.06,2.88
Nuclear technicians,19-4051,Life Physical And Social Science,Associate's degree,104240.0,6000.0,-8.0,Decline,0.284,0.185,0.17,Medium,Problem Sensitivity,Reasoning,Attention,3.325,3.719,3.536,3.06,2.685,3.397,2.22,3.378
Construction and building inspectors,47-4011,Construction And Extraction,High school diploma or equivalent,72120.0,147600.0,-1.0,Decline,0.282,0.334,0.286,Medium,Problem Sensitivity,Reasoning,Spatial,3.257,3.815,3.519,2.94,2.5,3.04,2.625,2.875
Music directors and composers,27-2041,Entertainment And Sports,Bachelor's degree,63670.0,47300.0,0.0,Little or no change,0.281,0.711,0.883,Medium,Originality,Reasoning,Memory,2.995,3.549,3.421,2.095,2.81,2.833,1.842,2.782
Security guards and gambling surveillance officers,33-9030,Protective Service,High school diploma or equivalent,38390.0,1272400.0,0.0,Little or no change,0.281,0.302,0.169,Medium,Problem Sensitivity,Reasoning,Attention,2.84,3.329,2.956,1.91,2.125,3.083,1.935,3.28
Marriage and family therapists,21-1013,Community And Social Service,Master's degree,63780.0,77800.0,13.0,Much faster than average,0.278,0.111,1.367,Medium,Oral Comprehension,Verbal,Reasoning,3.261,4.125,3.766,2.12,2.88,2.997,1.625,3.13
Medical equipment repairers,49-9062,Installation Maintenance And Repair,Associate's degree,62630.0,68000.0,13.0,Much faster than average,0.273,0.303,-0.277,Medium,Problem Sensitivity,Reasoning,Memory,3.036,3.125,3.306,2.94,3.0,3.04,2.5,2.56
Floral designers,27-1023,Arts And Design,High school diploma or equivalent,36120.0,43800.0,-6.0,Decline,0.267,0.2,-0.272,Low,Oral Comprehension,Verbal,Spatial,2.875,3.47,3.233,2.185,2.0,2.25,2.75,2.625
Calibration technologists and technicians,17-3028,Installation Maintenance And Repair,Associate's degree,65040.0,15800.0,5.0,Faster than average,0.267,0.4,0.263,Low,Problem Sensitivity,Reasoning,Spatial,3.214,3.655,3.471,3.043,2.574,3.005,2.466,2.988
