soc_code,occupation_title,Oral Comprehension,Written Comprehension,Oral Expression,Written Expression,Fluency of Ideas,Originality,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Information Ordering,Category Flexibility,Mathematical Reasoning,Number Facility,Memorization,Speed of Closure,Flexibility of Closure,Perceptual Speed,Spatial Orientation,Visualization,Selective Attention,Time Sharing
19-4051,Nuclear technicians,3.81,3.82,3.88,3.38,2.88,2.62,4.0,4.0,4.0,3.88,3.38,3.06,3.06,2.68,2.75,3.63,3.81,1.56,2.88,3.82,2.94
29-1122,Occupational therapists,4.0,3.94,4.06,3.75,3.44,3.38,4.12,3.62,3.62,3.44,3.25,2.37,2.44,2.38,2.88,3.06,2.88,1.5,2.94,3.12,2.94
31-2010,Occupational therapy assistants and aides,3.88,3.5,3.94,3.56,2.88,2.81,3.88,3.18,3.12,3.25,3.0,2.18,2.12,2.25,2.18,2.75,2.56,1.06,2.5,3.0,2.94
15-2031,Operations research analysts,4.0,4.25,4.12,4.0,3.75,3.75,3.75,4.12,4.25,3.88,3.38,4.75,4.25,2.75,2.38,3.0,2.62,1.0,2.38,3.0,2.12
29-2081,Opticians,4.0,3.75,4.0,3.75,3.0,2.62,3.5,3.5,3.0,3.12,3.12,2.75,2.75,2.38,2.5,2.62,2.75,1.0,2.88,3.0,2.88
29-1041,Optometrists,4.0,3.75,4.0,3.62,3.0,3.0,4.0,4.12,4.12,3.75,3.5,3.0,3.0,2.38,3.12,3.62,3.25,1.0,3.0,3.25,2.88
29-2091,Orthotists and prosthetists,4.0,4.0,4.0,3.62,3.12,3.25,3.88,4.0,4.0,3.5,3.38,2.75,2.38,2.0,2.62,2.75,2.62,1.0,3.5,2.88,2.5
47-2141,"Painters, construction and maintenance",3.12,3.0,3.0,2.25,2.12,2.25,2.88,3.0,2.88,2.88,2.38,2.12,2.0,1.5,2.0,2.38,2.0,2.0,2.75,2.88,2.25
51-9120,Painting and coating workers,2.92,2.67,2.88,2.29,2.21,2.17,2.88,2.92,2.63,2.92,2.75,1.83,2.04,1.96,2.17,2.58,2.5,1.75,2.75,2.84,2.04
23-2011,Paralegals and legal assistants,4.0,4.12,4.0,4.0,2.75,2.75,3.5,3.38,3.38,3.38,3.12,2.0,2.12,2.62,2.0,3.0,3.0,1.0,2.12,2.75,2.38
13-2052,Personal financial advisors,4.0,4.0,4.0,3.88,3.25,2.88,3.88,4.0,4.0,3.38,3.38,3.5,3.5,2.5,2.75,2.75,2.75,1.0,2.0,2.75,2.62
37-2021,Pest control workers,3.75,3.25,3.75,3.62,2.88,2.75,3.62,3.62,3.5,3.25,3.25,2.75,2.75,2.12,2.38,3.25,2.88,2.62,3.0,3.0,3.0
17-2171,Petroleum engineers,4.12,4.25,4.12,4.0,3.5,3.25,4.0,3.75,4.0,3.88,3.62,3.38,3.12,2.62,2.75,3.25,2.88,1.38,3.25,3.38,3.12
29-1051,Pharmacists,4.25,4.25,4.12,3.88,3.0,2.88,4.12,3.88,3.88,3.75,3.75,3.38,3.25,2.75,2.5,2.88,3.12,1.12,2.5,3.38,3.0
29-2052,Pharmacy technicians,4.0,3.88,3.88,2.88,2.5,2.25,3.62,3.38,3.0,3.62,3.5,3.12,3.12,2.25,2.38,2.88,3.12,1.0,2.38,3.0,2.88
31-9097,Phlebotomists,3.38,3.25,3.38,3.0,2.62,2.5,3.75,3.5,3.0,3.25,3.12,2.38,2.25,2.25,2.25,3.0,3.12,1.0,2.5,3.0,2.5
27-4021,Photographers,3.88,3.38,3.75,2.88,3.38,3.62,3.12,3.12,3.12,3.12,3.25,2.0,2.0,2.0,2.38,2.88,2.88,1.75,3.62,3.0,2.62
31-2020,Physical therapist assistants and aides,3.62,3.38,3.62,3.0,2.62,2.56,3.44,3.13,3.06,3.19,3.0,2.12,2.06,2.25,2.31,2.75,2.88,1.18,2.69,2.94,2.56
29-1123,Physical therapists,4.0,4.0,4.0,4.0,3.25,3.0,4.0,4.0,4.0,3.5,3.25,2.62,2.5,2.5,2.62,3.12,3.0,1.12,3.12,3.0,2.88
29-1071,Physician assistants,4.12,4.0,3.94,3.69,2.88,2.81,4.06,4.0,4.0,3.62,3.25,3.0,2.94,2.82,3.06,3.18,3.44,1.0,2.88,3.32,2.94
19-2010,Physicists and astronomers,4.12,4.12,4.06,3.88,3.69,3.88,3.82,4.12,4.19,3.81,3.63,4.31,4.06,3.12,2.94,3.56,3.19,1.32,3.32,3.44,2.88
47-2152,"Plumbers, pipefitters, and steamfitters",3.56,3.12,3.12,2.88,3.0,2.94,3.69,3.44,3.31,3.18,3.0,2.56,2.69,2.06,2.75,2.94,2.94,2.32,3.44,3.06,2.75
29-1081,Podiatrists,4.0,4.0,4.0,4.0,3.0,3.12,4.12,4.12,4.12,3.5,3.5,2.75,2.88,2.75,3.12,3.5,3.12,1.0,3.12,2.88,2.88
19-3094,Political scientists,3.88,4.62,4.12,3.88,3.0,3.25,3.5,3.75,3.88,3.0,3.0,2.75,2.38,2.5,2.25,2.75,2.0,1.0,2.0,3.0,2.12
43-5050,Postal service workers,3.33,3.17,3.25,2.54,2.0,1.96,3.0,2.96,2.88,3.12,3.08,2.21,2.25,2.16,2.29,2.58,2.96,1.54,2.04,2.92,2.42
11-9033,Postsecondary education administrators,4.0,4.12,4.12,4.12,3.75,3.88,4.12,3.88,4.0,3.75,3.62,2.88,2.88,2.75,2.88,3.12,2.62,1.0,2.62,3.38,2.75
51-8010,"Power plant operators, distributors, and dispatchers",4.0,3.71,3.96,3.45,2.92,2.83,4.0,3.79,3.71,3.59,3.04,2.67,2.63,2.29,2.75,3.25,3.46,1.62,2.92,3.21,2.92
11-9031,Preschool and childcare center directors,4.0,4.0,4.0,4.12,3.38,3.25,3.88,4.0,3.88,3.75,3.12,2.88,2.75,3.0,2.75,2.88,2.62,1.0,2.38,3.12,2.88
25-2011,Preschool teachers,4.0,3.5,4.25,3.38,3.5,3.75,4.0,3.5,3.38,3.62,3.25,2.5,2.25,2.75,3.0,3.0,2.62,1.38,2.88,3.12,3.25
33-9021,Private detectives and investigators,4.0,3.88,4.0,3.88,3.0,3.0,4.0,3.88,4.12,3.5,3.12,2.5,2.38,2.12,2.75,3.25,3.0,1.88,2.25,3.38,2.75
21-1092,Probation officers and correctional treatment specialists,4.0,3.62,4.0,3.62,2.62,2.75,4.12,3.75,3.88,3.0,2.88,1.88,1.88,2.12,2.0,2.62,2.0,1.25,1.88,2.75,2.5
27-2012,Producers and directors,4.15,4.03,4.1,3.85,3.45,3.6,3.85,3.83,3.7,3.53,3.35,2.45,2.45,2.55,2.5,2.9,2.57,1.15,2.95,3.2,3.02
13-1082,Project management specialists,3.96,4.09,3.91,3.66,3.42,3.33,3.92,3.88,3.88,3.79,3.16,3.46,3.37,2.75,2.71,3.0,2.84,1.21,3.04,3.13,2.67
13-2020,Property appraisers and assessors,3.94,3.88,3.69,3.56,2.88,2.82,3.31,3.69,3.81,3.31,3.44,3.18,3.06,2.19,2.56,2.94,2.75,1.75,2.5,3.06,2.56
11-9141,"Property, real estate, and community association managers",4.0,4.0,4.0,3.75,2.88,3.0,3.88,3.75,3.62,3.12,3.12,2.62,2.75,2.12,2.38,2.5,2.12,1.25,2.5,2.88,2.5
19-3030,Psychologists,4.33,4.37,4.29,4.21,3.61,3.39,4.24,4.21,4.24,3.71,3.64,3.07,2.76,2.76,2.83,3.2,2.83,1.04,2.7,3.1,2.56
11-2030,Public relations and fundraising managers,4.0,4.0,4.25,4.12,4.0,3.62,3.88,3.88,3.88,3.62,3.25,2.75,2.88,2.62,2.75,2.75,2.38,1.0,2.88,2.88,2.88
27-3031,Public relations specialists,4.38,3.88,4.25,4.0,3.5,3.5,3.75,3.75,3.62,3.12,3.0,2.12,2.0,2.38,2.25,2.25,2.38,1.0,2.25,3.12,2.75
43-5031,Public safety telecommunicators,4.12,3.5,4.25,3.25,3.0,2.88,4.0,3.75,3.75,3.75,3.25,2.12,2.12,3.12,3.25,3.38,3.38,1.38,2.38,4.0,3.12
51-9061,Quality control inspectors,3.75,3.38,3.75,2.88,2.38,2.12,3.38,3.25,3.12,3.12,3.12,2.62,2.38,2.0,2.25,3.38,3.12,1.0,2.62,3.12,2.38
29-1124,Radiation therapists,4.0,3.75,3.88,3.62,3.0,2.25,3.88,3.5,3.25,3.62,3.12,2.75,2.75,2.5,2.88,3.0,2.88,1.88,3.0,3.12,2.88
41-9020,Real estate brokers and sales agents,4.0,3.81,4.0,3.44,2.88,2.69,3.32,3.44,3.18,3.25,2.87,2.94,2.44,2.25,2.38,2.5,2.37,1.75,2.38,2.5,2.25
43-4171,Receptionists,3.88,3.5,3.88,3.5,2.5,2.5,2.88,3.0,2.75,2.75,2.5,2.62,2.62,2.75,2.12,2.25,2.62,1.0,2.12,3.12,2.88
39-9032,Recreation workers,4.0,3.38,4.0,3.12,3.12,3.12,3.62,3.25,3.0,3.12,3.12,2.25,2.12,2.0,2.62,2.62,2.62,1.0,2.62,3.0,3.0
29-1125,Recreational therapists,4.12,3.79,4.17,3.79,3.5,3.46,3.83,3.83,3.79,3.42,3.08,2.12,2.16,2.46,2.46,2.92,2.54,1.21,2.71,3.25,2.83
29-1141,Registered nurses,4.12,3.98,4.12,3.85,3.15,3.08,4.17,4.0,4.0,3.83,3.35,2.8,2.73,2.93,2.93,3.15,3.1,1.1,2.7,3.3,2.98
21-1015,Rehabilitation counselors,4.0,4.0,4.0,4.0,3.0,3.0,3.62,3.5,3.75,3.12,3.0,2.12,2.0,2.38,2.62,2.75,2.75,1.0,2.0,2.88,2.62
29-1126,Respiratory therapists,3.88,3.75,4.0,3.5,2.88,2.88,4.0,3.88,4.0,3.88,3.0,2.88,2.88,2.62,2.38,3.0,3.25,1.5,2.38,3.12,2.88
47-2181,Roofers,3.38,2.62,3.0,2.12,2.25,2.25,3.75,3.0,3.0,3.0,2.75,2.0,2.12,2.0,2.12,2.62,2.88,2.0,3.0,3.0,2.88
41-9031,Sales engineers,4.12,4.0,4.12,3.75,3.75,3.5,3.75,3.88,3.88,3.62,3.5,3.12,3.25,3.0,2.88,3.0,2.88,1.0,2.88,3.12,2.62
11-2022,Sales managers,4.0,4.0,4.0,3.88,3.75,3.62,3.75,3.88,3.75,3.38,3.25,3.12,3.12,3.0,2.75,2.75,2.5,1.5,2.38,2.62,2.62
21-1012,School and career counselors and advisors,4.12,4.12,4.25,4.0,3.5,3.25,4.12,3.88,3.88,3.38,3.0,2.5,2.25,2.62,2.38,2.75,2.75,1.0,2.62,3.25,2.88
41-3031,"Securities, commodities, and financial services sales agents",3.96,3.92,3.96,3.58,3.12,2.83,3.75,3.92,3.75,3.42,3.33,3.21,3.17,2.46,2.63,2.71,2.58,1.0,2.04,2.88,2.46
33-9030,Security guards and gambling surveillance officers,3.63,2.94,3.56,3.18,2.25,2.19,4.06,3.25,3.44,3.0,2.5,1.88,1.94,2.12,2.81,3.25,3.19,1.68,2.18,3.75,2.81
51-9141,Semiconductor processing technicians,3.38,3.5,3.25,3.13,2.38,2.38,3.13,3.25,3.25,3.13,2.88,2.0,2.0,2.25,2.0,2.75,3.0,1.5,3.0,2.75,2.25
27-1027,Set and exhibit designers,4.0,3.88,3.88,3.5,4.12,4.12,3.75,3.62,3.62,3.5,3.5,3.0,3.12,2.62,2.75,3.25,3.25,2.12,4.0,3.25,2.88
47-2211,Sheet metal workers,3.0,3.0,3.0,2.75,2.75,2.38,3.12,3.0,3.0,3.38,3.12,3.0,2.75,2.0,2.12,3.0,3.12,2.5,3.5,3.25,2.88
39-5094,Skincare specialists,3.88,3.25,3.88,3.0,2.88,3.0,3.12,3.12,2.88,2.88,2.88,1.5,1.5,2.0,2.0,2.62,2.12,1.0,2.25,3.0,2.38
49-3050,Small engine mechanics,3.33,2.71,3.21,2.79,2.71,2.67,3.58,3.58,3.46,3.21,2.96,2.08,2.04,2.21,2.21,2.92,2.63,1.96,3.29,3.04,2.58
11-9151,Social and community service managers,4.12,4.0,4.38,3.88,3.62,3.75,4.0,3.88,3.75,3.5,3.0,2.88,2.88,2.75,2.62,3.0,2.75,1.0,2.5,2.88,2.88
21-1093,Social and human service assistants,3.88,3.62,4.0,3.75,3.0,2.88,3.88,3.5,3.0,3.0,3.0,2.38,2.12,2.75,2.5,3.0,2.75,1.88,2.25,2.88,2.75
21-1020,Social workers,4.33,4.04,4.37,3.91,3.41,3.21,4.12,3.96,3.96,3.46,3.25,2.21,2.08,2.79,2.83,3.0,2.63,1.21,2.25,3.0,2.88
19-3041,Sociologists,4.12,4.25,4.25,4.12,3.12,3.25,3.25,4.0,3.88,3.12,3.0,2.75,2.12,2.38,2.0,2.5,2.12,1.0,2.0,2.88,2.25
47-2231,Solar photovoltaic installers,3.12,2.88,3.0,2.5,2.88,2.75,3.75,3.25,3.0,3.38,3.0,2.38,2.25,2.25,2.5,2.62,3.0,2.25,3.62,3.0,2.75
25-2050,Special education teachers,4.03,4.0,4.12,3.94,3.34,3.38,3.78,3.72,3.63,3.56,3.13,2.66,2.62,2.78,2.68,2.97,2.66,1.12,2.5,3.18,2.91
27-1014,Special effects artists and animators,3.75,3.88,3.88,3.62,3.25,3.38,3.62,3.5,3.38,3.38,3.25,2.62,2.5,2.5,2.5,2.88,2.75,1.12,3.75,3.38,2.62
29-1127,Speech-language pathologists,4.25,3.88,3.88,4.0,3.88,3.25,3.88,4.0,4.0,3.62,3.62,2.62,2.25,2.62,2.75,3.12,3.0,1.0,2.62,3.0,2.75
51-8021,Stationary engineers and boiler operators,3.75,3.12,3.75,3.0,2.62,2.38,3.75,3.12,3.12,3.25,3.0,2.0,2.0,2.12,2.25,2.62,3.12,2.0,2.75,3.0,2.5
21-1018,"Substance abuse, behavioral disorder, and mental health counselors",4.25,4.05,4.22,4.02,3.4,3.25,4.05,3.88,3.93,3.4,3.22,2.2,2.1,2.65,2.72,2.87,2.6,1.0,2.32,3.2,2.75
19-3022,Survey researchers,4.12,4.0,4.12,4.0,3.12,3.12,3.62,4.0,4.0,3.88,3.38,4.0,3.88,3.0,2.75,2.88,2.75,1.0,2.38,3.0,2.38
17-3031,Surveying and mapping technicians,3.37,3.68,3.37,3.06,2.94,2.88,3.5,3.44,3.12,3.38,3.06,3.56,3.0,2.62,2.75,3.12,3.0,2.0,3.06,3.06,2.56
17-1022,Surveyors,3.94,4.0,3.94,3.75,2.94,2.94,3.75,3.94,3.75,3.75,3.44,4.12,3.94,2.88,2.94,3.56,3.06,2.68,3.25,3.06,2.75
13-2081,"Tax examiners and collectors, and revenue agents",4.0,4.0,4.0,3.5,2.75,2.5,4.0,4.0,4.0,3.88,3.12,3.0,3.25,2.88,2.75,3.12,2.88,1.0,2.25,2.88,2.62
25-9045,Teacher assistants,3.88,3.0,3.88,2.75,2.88,2.75,3.12,3.0,2.88,3.12,2.88,1.88,1.88,2.25,2.0,2.75,2.12,1.12,2.25,3.0,2.88
27-3042,Technical writers,3.88,4.12,3.75,4.25,3.0,2.88,3.38,3.75,3.38,3.62,3.0,1.88,1.88,2.0,2.12,2.25,2.12,1.25,3.0,2.5,1.88
43-3071,Tellers,4.0,3.25,3.88,3.25,2.88,2.25,3.62,3.12,3.0,3.62,3.0,3.12,3.88,2.12,2.5,2.88,3.0,1.0,2.12,3.25,2.88
39-7010,Tour and travel guides,3.88,3.32,3.88,2.88,2.63,2.63,3.32,3.12,3.06,3.06,2.69,2.25,2.38,2.5,2.25,2.38,2.32,2.38,2.25,2.75,2.69
11-3131,Training and development managers,4.0,4.0,4.12,4.0,4.0,3.88,3.88,4.0,3.88,3.75,3.38,2.88,2.88,2.88,2.88,2.75,2.5,1.0,2.75,2.88,2.5
13-1151,Training and development specialists,4.12,4.0,4.25,4.0,3.5,3.75,3.75,3.88,3.88,3.38,3.25,2.5,2.5,3.0,2.5,2.75,2.5,1.12,2.5,3.0,3.12
11-3071,"Transportation, storage, and distribution managers",3.96,3.96,3.96,3.88,3.29,3.16,3.92,3.71,3.63,3.5,3.21,3.08,3.0,2.46,2.46,2.88,2.71,1.59,2.54,2.88,2.54
41-3041,Travel agents,4.0,3.88,3.88,3.12,3.0,3.0,3.5,3.12,3.0,3.25,3.0,2.88,3.0,2.88,2.25,2.5,2.12,1.0,2.25,3.12,2.88
27-2023,"Umpires, referees, and other sports officials",3.5,2.75,3.75,2.75,2.38,2.38,3.5,3.38,3.0,3.12,2.88,2.38,2.5,3.0,3.25,3.25,3.12,2.0,2.5,3.38,3.12
19-3051,Urban and regional planners,4.0,4.0,4.12,4.0,3.5,3.38,3.88,3.88,3.75,3.62,3.25,3.0,2.88,2.25,2.25,2.88,2.62,1.88,3.38,2.88,2.75
29-1131,Veterinarians,3.88,3.88,4.12,3.38,3.12,3.12,4.25,4.12,4.25,3.62,3.12,2.88,2.88,2.5,2.38,3.0,2.75,1.12,2.88,3.25,3.0
31-9096,Veterinary assistants and laboratory animal caretakers,3.25,3.0,3.25,3.0,2.12,2.12,3.38,3.12,3.0,3.0,2.75,2.75,2.88,2.0,2.12,2.88,2.38,1.0,2.38,2.88,2.25
29-2056,Veterinary technologists and technicians,3.88,3.62,4.0,3.25,2.88,2.75,3.88,3.88,3.5,3.62,3.25,3.0,3.0,2.75,2.75,3.25,3.0,1.0,2.88,3.0,3.0
35-3031,Waiters and waitresses,3.88,2.88,3.88,2.5,2.12,2.12,3.0,3.0,2.88,2.88,2.62,2.0,2.12,2.88,2.12,2.38,2.12,1.5,2.12,3.0,3.12
51-8031,Water and wastewater treatment plant and system operators,3.75,3.62,3.75,3.12,2.75,2.12,3.38,3.5,3.25,3.12,2.88,2.75,2.88,2.12,2.25,2.88,3.38,2.0,2.75,3.12,2.62
51-4121,"Welders, cutters, solderers, and brazers",2.88,2.44,2.75,2.19,2.18,2.12,3.19,2.81,2.69,2.94,2.63,2.0,2.0,1.81,2.25,2.62,2.75,1.62,3.06,2.75,2.19
49-9081,Wind turbine technicians,3.62,3.25,3.38,2.75,2.88,2.75,3.62,3.62,3.38,3.38,3.12,2.12,2.0,2.75,2.5,3.25,3.25,2.12,3.38,3.12,2.62
27-3043,Writers and authors,3.94,4.19,3.88,4.44,3.88,3.94,3.19,3.38,3.38,3.32,3.12,1.94,1.81,2.06,2.38,2.68,2.19,1.0,2.56,3.0,2.12
19-1023,Zoologists and wildlife biologists,4.12,4.12,4.0,4.0,3.12,3.12,3.88,4.0,4.0,3.75,3.38,3.0,3.0,2.25,2.38,3.0,3.0,2.0,2.88,3.25,2.88
